code,name,type,manager,company
001459,广发中证全指原材料联接A,联接基金,陆志明,广发基金
001460,广发中证全指能源ETF联接,联接基金,陆志明,广发基金
001463,光大一带一路混合,混合型,黄兴亮,光大保德信基金
001464,光大鼎鑫混合A,混合型,何奇,光大保德信基金
001466,华富永鑫灵活配置混合A,混合型,张惠,华富基金
001467,华富永鑫灵活配置混合C,混合型,张惠,华富基金
001468,广发改革混合,混合型,王小松,广发基金
001469,广发中证全指金融地产联接A,联接基金,陆志明,广发基金
001470,融通通鑫灵活配置混合,混合型,余志勇,融通基金
001471,融通新能源灵活配置混合,混合型,付伟琦,融通基金
001473,建信大安全战略精选股票,股票型,王东杰,建信基金
001474,兴银丰盈灵活配置,混合型,张晓南,兴银基金
001475,易方达国防军工混合,混合型,陈皓,易方达基金
001476,中银智能制造股票,股票型,王伟,中银基金
001477,泰康薪意保货币A,货币型,蒋利娟,泰康资产
001478,泰康薪意保货币B,货币型,蒋利娟,泰康资产
001479,中邮风格轮动灵活配置混合,混合型,国晓雯,中邮基金
001480,财通成长优选混合,混合型,金梓才,财通基金
001481,华宝兴业标普油气上游股票美元,QDII-指数,周晶,华宝基金
001482,上投摩根新兴服务股票,股票型,郭晨,上投摩根基金
001483,天弘喜利灵活配置混合,混合型,钱文成,天弘基金
001484,天弘新价值混合,混合型,姜晓丽,天弘基金
001485,华安添颐养老混合,混合型,孙丽娜,华安基金
001487,宝盈优势产业混合,混合型,段鹏程,宝盈基金
001488,万家瑞丰灵活配置混合A,混合型,高翰昆,万家基金
001489,万家瑞丰灵活配置混合C,混合型,高翰昆,万家基金
001490,汇添富国企创新股票,股票型,劳杰男,汇添富基金
001491,国泰生益灵活配置混合A,混合型,樊利安,国泰基金
001492,鹏华弘锐混合A,混合型,刘方正,鹏华基金
001493,鹏华弘锐混合C,混合型,刘方正,鹏华基金
001494,信诚新鑫混合A,混合型,杨立春,信诚基金
001495,东方新价值混合A,混合型,周薇,东方基金
001496,工银聚焦30股票,股票型,胡文彪,工银瑞信基金
001497,大成月添利债券E,理财型,陈会荣,大成基金
001498,建信鑫荣回报灵活配置混合,混合型,牛兴华,建信基金
001499,国投瑞银新增长混合,混合型,桑俊,国投瑞银基金
001500,泓德远见回报混合,混合型,邬传雁,泓德基金
001501,招商丰裕混合A,混合型,何文韬,招商基金
001502,招商丰裕混合C,混合型,何文韬,招商基金
001503,南方利鑫C,混合型,孙鲁闽,南方基金
001504,南方利淘C,混合型,孙鲁闽,南方基金
001505,南方利众C,混合型,吴剑毅,南方基金
001506,景顺长城泰和回报混合A,混合型,万梦,景顺长城基金
001507,景顺长城泰和回报混合C,混合型,万梦,景顺长城基金
001508,富国新动力灵活配置混合A,混合型,李晓铭,富国基金
001510,富国新动力灵活配置混合C,混合型,李晓铭,富国基金
001511,兴全新视野定开混合,混合型,董承非,兴全基金
001512,易方达中债3-5年期国债指数,债券指数,张雅君,易方达基金
001513,易方达信息产业混合,混合型,郑希,易方达基金
001515,平安大华新鑫先锋C,混合型,邓翔,平安大华基金
001516,大成月月盈短期理财债券E,理财型,张文平,大成基金
001517,大成景裕灵活配置混合A,混合型,张文平,大成基金
001518,万家瑞兴,混合型,莫海波,万家基金
001521,国寿安保成长优选股票,股票型,张琦,国寿安保基金
001522,博时新策略灵活配置混合A,混合型,王曦,博时基金
001523,博时新策略灵活配置混合C,混合型,王曦,博时基金
001524,华泰柏瑞精选回报混合,混合型,杨景涵,华泰柏瑞基金
001526,鑫元安鑫宝货币A,货币型,颜昕,鑫元基金
001527,鑫元安鑫宝货币B,货币型,张明凯,鑫元基金
001528,诺安先进制造股票,股票型,韩冬燕,诺安基金
001529,天弘云商宝,货币型,王登峰,天弘基金
001530,万家瑞富灵活配置混合,混合型,高翰昆,万家基金
001531,招商安益保本混合,基金规模,招商基金,基金评级
001532,华安文体健康混合,混合型,苏圻涵,华安基金
001533,华泰柏瑞爱利混合,混合型,杨景涵,华泰柏瑞基金
001534,华宝万物互联混合,混合型,楼鸿强,华宝基金
001535,景顺长城改革机遇灵活配置混合,混合型,鲍无可,景顺长城基金
001536,南方君选,混合型,茅炜,南方基金
001537,中加改革红利混合,混合型,张旭,中加基金
001538,上投摩根科技前沿灵活配置混,混合型,李德辉,上投摩根基金
001539,嘉实中证金融地产ETF联接,联接基金,何如,嘉实基金
001540,浙商汇金转型驱动,混合型,唐光英,浙商证券资管
001541,汇添富民营新动力股票,股票型,谭志强,汇添富基金
001542,国泰互联网+股票,股票型,彭凌志,国泰基金
001543,宝盈新锐混合,混合型,肖肖,宝盈基金
001545,博时裕嘉纯债,债券型,鲁邦旺,博时基金
001546,博时裕盈3个月定开债,定开债券,鲁邦旺,博时基金
001547,兴业聚惠灵活配置混合A,混合型,徐青,兴业基金
001548,天弘上证50指数A,股票指数,张子法,天弘基金
001549,天弘上证50指数C,股票指数,张子法,天弘基金
001550,天弘中证医药100A,股票指数,张子法,天弘基金
001551,天弘中证医药100C,股票指数,张子法,天弘基金
001552,天弘中证证券保险A,股票指数,张子法,天弘基金
001553,天弘中证证券保险C,股票指数,张子法,天弘基金
001554,天弘中证全指运输A,股票指数,张子法,天弘基金
001555,天弘中证全指运输C,股票指数,张子法,天弘基金
001556,天弘中证全指房地产A,股票指数,张子法,天弘基金
001557,天弘中证全指房地产C,股票指数,张子法,天弘基金
001558,天弘中证大宗商品股票指数A,股票指数,张子法,天弘基金
